address,nbr_tx_in,nbr_tx_out,Tot_in,Tot_out,mean_in,mean_out,sdev_in,sdev_out,gini_in,gini_out,avg_time_btw_tx,lifetime,ponzi
0x7011f3edc7fa43c81440f9f43a6458174113b162,108,2,8.17E+19,1.75E+16,7.57E+17,8.75E+15,8.96E+17,4.75E+15,0.578617,0.271429,414359.1909,45579511,1
0x7d56485e026d5d3881f778e99969d2b1f90c50af,6,13,1.2E+17,1.87E+19,2E+16,1.44E+18,1.53E+16,2.26E+18,0.361111,0.656619,138306.6316,2627826,1
0x4865e85c72a27ca6c362da75ba6707c07464b953,3,2,2.75E+18,2E+18,9.17E+17,1E+18,1.18E+17,9.8E+17,0.060606,0.49,785722,3928610,1
0xba6284ca128d72b25f1353fadd06aa145d9095af,15,2,1.11E+19,2.01E+18,7.39E+17,1.01E+18,1.31E+18,9.85E+17,0.745848,0.49,5253428.529,89308285,1
0xfd2487cc0e5dce97f08be1bc8ef1dce8d5988b4d,4,213,3.13E+19,4.01E+19,7.83E+18,1.88E+17,3.75E+18,1.36E+18,0.207549,0.653251,18567.35023,4029115,1
0xa9e4e3b1da2462752aea980698c335e70e9ab26c,10,1,1.06E+18,2E+17,1.06E+17,2E+17,8.28E+16,0,0.422642,0,21336.18182,234698,1
0xca7c390f8f843a8c3036841fde755e5d0acb97da,6,1,2.5E+19,1.5E+20,4.17E+18,1.5E+20,1.86E+18,0,0.166267,0,2840450.714,19883155,1
0xe82719202e5965cf5d9b6673b7503a3b92de20be,32,1,7.77E+19,1.5E+20,2.43E+18,1.5E+20,2.96E+18,0,0.551133,0,630718.1818,20813700,1
0xdcb13fa157eebf22ddc8c9aa1d6e394810de6fa3,6,1,3.8E+19,1.5E+20,6.33E+18,1.5E+20,1.06E+19,0,0.675439,0,3440809.714,24085668,1
0x3325439082ff8ba7371dfdaa1af297bbfcac21b2,5,10,4.5E+19,1.91E+19,9E+18,1.91E+18,0,1.34E+18,0,0.295178,272093.4,4081401,1
0x446d1696a5527018453cda3d67aa4c2cd189b9f6,4,2,1.6E+19,1.12E+20,4E+18,5.6E+19,3.54E+18,5.5E+19,0.4375,0.491071,3530193,21181158,1
0xfeeb8a968f0d7fd58e29fbfc525051f50ee2fedc,17,1,4.99E+18,2.1E+20,2.93E+17,2.1E+20,4.72E+17,0,0.698818,0,1148276.722,20668981,1
0x7fd6d3537b39842cfe16e813851296d4745b51a7,27,4,9.96E+19,4.29E+17,3.69E+18,1.07E+17,2.28E+18,3.81E+16,0.329349,0.196148,291128.8387,9024994,1
0x294308484f47ff5a833a284ac6949eb02728fbe4,4,1,3.4E+19,1.96E+16,8.5E+18,1.96E+16,7.4E+18,0,0.455882,0,485080,2425400,1
0xba69e7c96e9541863f009e713caf26d4ad2241a0,20,4,2.23E+19,5.26E+18,1.12E+18,1.32E+18,9.59E+17,7.7E+17,0.461211,0.305133,133101.125,3194427,1
0xe19e5f100d6a31169b5dca265c9285059c41d4f6,4,3,7.6E+18,1.99E+18,1.9E+18,6.64E+17,1.83E+18,2.06E+17,0.473831,0.159049,554466.5714,3881266,1
0x3e84512f277a5081b9209831c51bce665035d9db,5,1,6E+20,3.83E+17,1.2E+20,3.83E+17,4E+19,0,0.133333,0,1543349.333,9260096,1
0xdc84953d7c6448e498eb3c33ab0f815da5d13999,4,1,2.22E+18,1.13E+19,5.56E+17,1.13E+19,4.44E+17,0,0.401979,0,683454.4,3417272,1
0x80d9c4f6209044de069c545f68644419b520a02f,2,2,1E+19,2.02E+16,5E+18,1.01E+16,0,5E+14,0,0.024752,825195.25,3300781,1
0x316201f586706aaa2795bc2a3f0bad2379c363e4,2,1,2E+17,9.5E+15,1E+17,9.5E+15,0,0,0,0,1012823.667,3038471,1
0x9d5bdaa9d82782c03402dd5c675ae3e45b3102e2,4,1,1.59E+18,1.9E+16,3.98E+17,1.9E+16,2.91E+17,0,0.407862,0,1016316,5081580,1
0xa39fcb48adf288f143459d57a1a0756718c919ae,12,1,1.08E+19,2.5E+18,9.03E+17,2.5E+18,1.32E+18,0,0.608856,0,218379.6154,2838935,1
0x02b2101903eb6a51518e63e84b785180859fda9d,4,4,8.9E+16,4.69E+18,2.23E+16,1.17E+18,1.05E+16,1.12E+18,0.255618,0.514662,3984927.5,31879420,1
0x16a4ff536001405f2b0d7ddafc79f6a10d024640,4,23,3.59E+17,5.87E+19,8.99E+16,2.55E+18,9.39E+16,2.63E+18,0.541364,0.477922,1331084.407,35939279,1
0xee462a6717f17c57c826f1ad9b4d3813495296c9,4,2,7E+18,7.92E+16,1.75E+18,3.96E+16,8.29E+17,1.97E+16,0.25,0.248133,676845.6667,4061074,1
0x1afd952269873fe009c7bdff5f07fd91605a7227,2,1,4E+16,9.09E+16,2E+16,9.09E+16,1E+16,0,0.25,0,4569512.667,13708538,1
0x428da5ff72d8be0efaa85336b6c6a9fc9e0f73fe,1,168,2E+18,5.3E+21,2E+18,3.16E+19,0,5.83E+19,0,0.760233,354836.8757,59967432,1
0xbe46324018124b2d604c2f3eae91d3de9b388b09,1,197,2.01E+18,3.13E+20,2.01E+18,1.59E+18,0,2.55E+18,0,0.746148,373812.3788,74014851,1
0xeacba276ff97853102c3d540b663c08ec7fbe0ed,2,20,2E+18,4.8E+19,1E+18,2.4E+18,0,3.85E+18,0,0.621717,104856.5909,2306845,1
0xfe3672eff595cfd36ed05aaf4622d1aec3b5e852,25,1257,2.21E+19,1.33E+21,8.84E+17,1.06E+18,3.14E+17,8.07E+18,0.115653,0.941914,47466.78471,60852418,1
0xd12d8f8dfa54f1578b2177f99b2e282367b66b13,1,28,2E+17,1.58E+19,2E+17,5.64E+17,0,5.94E+17,0,0.520796,233302.7586,6765780,1
0x09515cb5e3acaef239ab83d78b2f3e3764fcab9b,2,30,3E+18,2.28E+19,1.5E+18,7.6E+17,1.5E+18,8.19E+17,0.499997,0.502115,1513250.813,48424026,1
0xbb9854bfd082c48b4d426ac6a2a152b01326f46f,1,9,1.5E+20,7.63E+17,1.5E+20,8.48E+16,0,1.09E+17,0,0.569099,2046464.8,20464648,1
0x55d035ba1f4ae932cf98125b93d830d9858cd39f,51,66,7.45E+20,8.95E+20,1.46E+19,1.36E+19,2.08E+19,2.08E+19,0.670427,0.695255,940496.4957,110038090,1
0x43e49c79172a1be3ebb4240da727c0da0fa5d233,1,8,1.5E+20,1.79E+19,1.5E+20,2.23E+18,0,1.73E+18,0,0.432219,2275604.333,20480439,1
0x51170b18bca7896b49c52dcc18e66e5c921e100f,45,11,8.24E+20,3.85E+19,1.83E+19,3.5E+18,1.82E+19,3.51E+18,0.547089,0.49099,81745.01786,4577721,1
0x2a53f42ad8bba138c21b50a4e5711f18381a61e9,2,7,1.12E+20,2E+18,5.6E+19,2.86E+17,4.4E+19,3.3E+17,0.392857,0.575893,1476640.778,13289767,1
0x49f053b866c33185fa1151e71fc80d5fe6b08a92,2,360,2.1E+20,7.88E+20,1.05E+20,2.19E+18,5E+18,2.68E+18,0.02381,0.605936,57007.08011,20636563,1
0x5a437d94843541d5cb83221a4a4b253de30b97b7,21,19,2.1E+20,3.46E+20,1E+19,1.82E+19,0,3.12E+19,0,0.746622,126247.1,5049884,1
0xc357a046c5c13bb4e6d918a208b8b4a0ab2f2efd,2,339,7.92E+16,9.17E+20,3.96E+16,2.7E+18,1.97E+16,4.9E+18,0.248133,0.219339,195684.3021,66728347,1
0xf1c1648f6f0edbcf7d898441b88e489cfaace11d,153,3,3.07E+21,1.39E+17,2.01E+19,4.63E+16,2.69E+19,5.57E+16,0.643463,0.581323,299533,46727148,1
0xcaaca224e35d0a1fa3304a3c4ec8beb5f28a99aa,866,109,8.92E+20,1.84E+18,1.03E+18,1.69E+16,5.85E+17,3.33E+16,0.047001,0.768754,68456.82154,66745401,1
0x143e8bd26d95b230680c25300f93ef56f86eccac,14,4,5.37E+19,4.69E+18,3.83E+18,1.17E+18,1.28E+19,1.12E+18,0.89498,0.514662,19952.83333,359151,1
0x1ff3f56609d0771abb49566600febade0e708beb,3,3,2.7E+19,1.25E+18,9E+18,4.18E+17,0,1.42E+17,0,0.18485,367910.1667,2207461,1
0x41f2d5040726c5328f8366f17041ec012ac8f338,431,12,5.52E+21,9.37E+18,1.28E+19,7.8E+17,3.03E+19,6.83E+17,0.76974,0.483405,148891.7156,65959030,1
0x89c2352cb600df56fe4bfb5882caadef3e96213f,14,1,1.4E+19,3.72E+16,1E+18,3.72E+16,0,0,0,0,3034667.067,45520006,1
0x007d42b9192b8c087b0d3e6ef73aae48e74b41c1,17,1,2.03E+19,3.39E+17,1.2E+18,3.39E+17,1.03E+18,0,0.442721,0,26789.88889,482218,1
0x19a6067538c90973ef5dc31ded5fa567f3d09059,1,24,3.4E+19,1.35E+20,3.4E+19,5.6E+18,0,8.07E+18,0,0.694947,5191.48,129787,1
0xe7f06e64e0d04c6cfedf7e9079d56d0fb7200a2e,542,66,1.15E+21,1.36E+21,2.12E+18,2.07E+19,1.05E+19,3.45E+19,0.952377,0.716959,131036.028,79669905,1
0x99925cc9a57f5e473ff22314cfe0627a0bfcceb4,62,16,6.11E+19,1.6E+20,9.85E+17,1E+19,1.13E+17,0,0.014492,0,47122.64103,3675566,1
0xc99b3615724b7c4d3e4b348cfc8a25b9e2133828,18,143,2.62E+20,7.44E+21,1.45E+19,5.2E+19,2.58E+19,5.52E+19,0.751878,0.569962,50496.3913,8129919,1
0x245233bc8604d2097bfcbf3338959c46da04d9e0,8,100,1.88E+19,8.68E+19,2.35E+18,8.68E+17,2.24E+18,1.32E+18,0.488032,0.672718,576225.3981,62232343,1
0x9d31ff892f984a83e8b342a5ece8e8911ed909e0,2,46,1.39E+17,1.62E+19,6.95E+16,3.52E+17,3.06E+16,2.74E+17,0.219942,0.386141,629398.5417,30211130,1
0x6adf9e666e3e85876b1ba25edb31799faad8417b,179,57,1.42E+21,3.07E+21,7.91E+18,5.39E+19,1.5E+19,3.91E+19,0.707658,0.400729,346419.1949,81754930,1
0x2464d1d97f8d0180cfad67bdb19bc30cca69dda0,5,22,4.96E+18,1.07E+19,9.92E+17,4.86E+17,5.35E+17,2.06E+18,0.276613,0.927986,20621.55556,556782,1
0xf767fca8e65d03fe16d4e38810f5e5376c3372a8,1,18,5E+16,1.36E+19,5E+16,7.55E+17,0,1.28E+18,0,0.749233,216414.1579,4111869,1
0xb336a86e2feb1e87a328fcb7dd4d04de3df254d0,26,66,4.06E+19,7.91E+19,1.56E+18,1.2E+18,1.9E+18,1.6E+18,0.476768,0.555615,484653.913,44588160,1
0xea06c9cb0d69058468387f283e9a3f61c53e3c21,5,1,1.49E+18,1E+18,2.98E+17,1E+18,1.06E+17,0,0.18255,0,974870.6667,5849224,1
0x79c039d075bc3b86a7df63ebbe55fbc642b5220f,3,3,1.33E+19,5E+18,4.43E+18,1.67E+18,1.02E+18,1.65E+18,0.114998,0.466667,90812.83333,544877,1
0x827ce5d8943d69c8538cd5662daf72be52176ed6,1,5,1.5E+20,2.82E+19,1.5E+20,5.65E+18,0,6.26E+18,0,0.559688,3969117.667,23814706,1
0x5158cf97c3e001b402ccb0f9063736ee8d6dad5a,22,4,2.32E+19,1.01E+19,1.05E+18,2.53E+18,4.84E+17,1.26E+18,0.123433,0.215347,52359.46154,1361346,1
0xfe9c69945687539fabbf531133838d9cce522a76,4,17,4.81E+17,9.75E+16,1.2E+17,5.74E+15,2.3E+16,5.66E+15,0.100312,0.485671,450568.619,9461941,1
0xa7481af3bbc9d902c02f58204c5683052de53330,2,12,2E+16,4.91E+18,1E+16,4.1E+17,0,5.93E+17,0,0.664566,76000.71429,1064010,1
0xd361e374be9e3907fceac60c6ea5cbdce89fc9ae,1,7,1E+17,2.41E+19,1E+17,3.45E+18,0,6.84E+18,0,0.794283,7288240.5,58305924,1
0xab7689c7be6d9b5428d6bf4c536dc699fc919260,17,3,1.44E+20,9E+18,8.48E+18,3E+18,2.12E+18,0,0.058824,0,3247948.8,64958976,1
0xc1824278b767d9efb304c63128b1a92babc3fa4b,1,26,5E+17,6.64E+20,5E+17,2.55E+19,0,2.69E+19,0,0.54983,118316.1852,3194537,1
0xa90be2201bfed97587a2a17949e8624eafe51d13,7,69,2.8E+19,1.1E+20,4E+18,1.59E+18,3.12E+18,3.21E+18,0.367128,0.752009,574746.1184,43680705,1
0x85c84c949b1c29c85b777f2873a19450dbb1a057,3,14,4.5E+16,6.58E+18,1.5E+16,4.7E+17,7.07E+15,1.14E+18,0.222222,0.813035,5350512.235,90958708,1
0x496a84aeaa78f6fc8ed458904d7f2d52b222e823,77,38,8.66E+19,8.75E+19,1.12E+18,2.3E+18,1.41E+18,4.91E+18,0.623183,0.815517,208979.087,24032595,1
0xc305b6401643b63dd9d74040bb16bb5c8bbbaa88,8,6,1.07E+19,4.01E+19,1.34E+18,6.68E+18,8.7E+17,4.7E+18,0.323597,0.331919,21659.14286,303228,1
0xf52ecc525d998eb880911a268b0fa4bc7d69a435,7,2,7E+18,1.59E+18,1E+18,7.95E+17,0,2.2E+17,0,0.138365,3528195.667,31753761,1
0xadd6f226b34957a8f59a5be195560b96323c74c7,7,9,6.1E+18,4.5E+19,8.71E+17,5E+18,3.15E+17,4.47E+18,0.126464,0.444444,220874.875,3533998,1
0xd2dc2625079d2eb5d31a03ce2372304a23fb7b42,6,19,3.85E+18,7.85E+20,6.42E+17,4.13E+19,3.81E+17,3.88E+19,0.318182,0.520185,46916.8,1172920,1
0x787e3cef5edd94089ab3988775fcb24a1582b38f,1,3,1E+17,1.4E+19,1E+17,4.67E+18,0,1.89E+18,0,0.190476,668910.5,2675642,1
0x0d5919572552c6c8c752aa402bd033f2b2886bbc,1,6,1E+17,2.7E+19,1E+17,4.5E+18,0,4.19E+18,0,0.499951,504998.5714,3534990,1
0x303e50180fe5794ba066e227f376b22341aad497,12,1197,1.47E+19,8.74E+19,1.22E+18,7.3E+16,1.04E+18,9.21E+16,0.463783,0.508947,820.064516,991458,1
0x5eabae401202b9ed9e5dfbbe2d67860361eb0a9d,5,5,8.5E+17,3.4E+19,1.7E+17,6.8E+18,2.45E+16,1.34E+19,0.070588,0.793647,370773.8,3707738,1
0x9e2a68ed6b854e2e55433b5ec8f471c7b274df51,130,7,1.04E+21,1.1E+17,7.98E+18,1.57E+16,1.3E+19,6.02E+15,0.706839,0.14026,71978.10949,9861001,1
0x14d7a3f1767b94b366ba29b4f774588459359f27,20,5,2.29E+19,6E+18,1.15E+18,1.2E+18,2.77E+18,0,0.814847,0,2495252.6,62381315,1
0xc11705a782e1a4c4db0a5b9ee22ce7554dd5e8e1,243,161,8.51E+20,4.83E+21,3.5E+18,3E+19,2.03E+18,6.9E+19,0.286978,0.781496,37578.89109,15181872,1
0xe6329d65ebcc5cbccdd719d7b18ac9e220dca145,12,46,1.2E+17,5.89E+19,1E+16,1.28E+18,0,2.12E+17,0,0.037194,65267.32759,3785505,1
0xa0285193e366a634fd9639d650b2115d77681a37,2,3,4E+16,2.21E+18,2E+16,7.36E+17,1E+16,4.44E+17,0.25,0.284689,643564.4,3217822,1
0x0ec3cd77dbc5b512b5f9e45578813e1dbbcda719,27,2,4.82E+19,1.35E+17,1.79E+18,6.75E+16,2.09E+18,5.75E+16,0.553036,0.425926,79169.86207,2295926,1
0x0b230b071008bbb145b5bff27db01c9248f486b9,2,2,4E+16,6E+20,2E+16,3E+20,1E+16,1E+20,0.25,0.166667,3180650.75,12722603,1
0xd0e614953de3dd3d4816b195d261769efd880a50,343,2,7.49E+21,2.04E+16,2.18E+19,1.02E+16,3.19E+19,4.8E+15,0.696583,0.235294,185461.2435,63984129,1
0x827ce5d8943d69c8538cd5662daf72be52176ed6,1,31,5E+16,1.99E+20,5E+16,6.42E+18,0,6.82E+18,0,0.517426,123203.9688,3942527,1
0x6b62497fc36e1f47c4c2d9f29fdf28cc3ebed72d,2,3,4E+16,7E+18,2E+16,2.33E+18,1E+16,1.25E+18,0.25,0.285714,688875.4,3444377,1
0x79c039d075bc3b86a7df63ebbe55fbc642b5220f,2,0,1.1E+15,0,5.5E+14,0,4.5E+14,0,0.409091,0,45.5,91,1
0x5c3578f62ccd0b126214daa589ca11c7dc681acf,84,0,9.94E+19,0,1.18E+18,0,1.52E+18,0,0.472318,0,11839.97619,994558,1
0xed41e841ed150f8fb1febc8c443a113c1cd95a1d,5,0,4.96E+18,0,9.92E+17,0,5.35E+17,0,0.276613,0,2561.8,12809,1
