address,nbr_tx_in,nbr_tx_out,Tot_in,Tot_out,mean_in,mean_out,sdev_in,sdev_out,gini_in,gini_out,avg_time_btw_tx,lifetime,ponzi
0x8153510d6b4205ae9fa956b1a3012922ded49350,268,0,5.33E+21,0,1.99E+19,0,3E+19,0,0.720718,0,172320.3097,46181843,1
0xd57ad441160865b7393be8c8244a69957dc4d53e,13,0,1.47E+19,0,1.13E+18,0,5.59E+17,0,0.167452,0,319155.2308,4149018,1
0xac2bb751cd9528ffbcfdbbd976b906baed792a56,1,0,1E+17,0,1E+17,0,0,0,0,0,0,0,1
0xdf05fb3eab68898ec07cadba5849c30fafe9b113,154,0,4.16E+20,0,2.7E+18,0,7.83E+18,0,0.853795,0,480615.9156,74014851,1
0x21905ebd9e1f9587c7b3685d424679f16cccbb58,2,0,2.21E+17,0,1.11E+17,0,9.5E+15,0,0.042986,0,239,478,1
0x79280ded572a0a7dfd31dfcc5baef3121ef0fee6,1,0,1E+17,0,1E+17,0,0,0,0,0,0,0,1
0x40b88bbd78cb0441259de7a7d608a39b7388369a,31,0,3.29E+19,0,1.06E+18,0,2.34E+18,0,0.822072,0,1217283.774,37735797,1
0xc07ec6b6e3783b6855d000e104e44b3f86bbfc22,60,0,1.84E+19,0,3.07E+17,0,2.86E+17,0,0.465163,0,698831.9667,41929918,1
0x0f686cf61270c35142cd1f29a8d35db698aa2744,113,10,5.07E+19,1.7E+17,4.49E+17,1.7E+16,7.77E+17,2.83E+16,0.691414,0.689142,179099.3252,22029217,0
0xaed4554111619d2998e4d32f3d2ce73d00673f27,331,12,1.29E+20,6.2E+16,3.9E+17,5.16E+15,9.41E+17,2.97E+15,0.805018,0.316163,13856.40233,4752746,0
0x8cbfee972b40c85fb34b53d69a82d44cf40c20c1,103,10,4.67E+18,2.72E+18,4.53E+16,2.72E+17,5.77E+16,4.65E+17,0.535297,0.720816,245833.3451,27779168,0
0x2bba3cf6de6058cc1b4457ce00deb359e2703d7f,1,5,5E+17,1.3E+18,5E+17,2.6E+17,0,1.93E+17,0,0.378854,907200.6667,5443204,0
0xcfcd43d7ee21416a71c2eb9888587d52716fc77a,1,120,2E+15,5.06E+17,2E+15,4.22E+15,0,6.38E+15,0,0.467757,45281.22314,5479028,0
0xec7ba74789694d0d03d458965370dc7cf2fe75ba,6,7,4.73E+15,1.83E+18,7.88E+14,2.62E+17,9.7E+14,3.6E+17,0.619574,0.654269,2251771.615,29273031,0
0x8942a5995bd168f347f7ec58f25a54a9a064f882,417,18,2.06E+18,7.36E+17,4.95E+15,4.09E+16,7.73E+14,4.83E+16,0.028745,0.542043,86559.55172,37653405,0
0x51f835d5671dece76c3fd11d648d1da00f8aa206,1479,98,9.3E+20,4.27E+18,6.28E+17,4.35E+16,1.82E+18,5.58E+16,0.715837,0.538349,14191.95181,22380708,0
0x8b548505babfd983fc45210499b44e340bb85d76,898,233,1.15E+20,1.59E+18,1.28E+17,6.81E+15,1.2E+18,1.18E+16,0.682311,0.735125,43130.60035,48780709,0
0x273f7f8e6489682df756151f5525576e322d51a3,310,3,5.38E+18,1.91E+14,1.74E+16,6.37E+13,6.81E+16,6.82E+13,0.407939,0.519449,30019.94249,9396242,0
0xa1d2c7e6de2fa512f1fdf486ca17ab79b4dc5d01,64,1444,1.35E+19,3.14E+20,2.11E+17,2.18E+17,3.01E+17,9.22E+17,0.662931,0.87818,25289.39257,38136404,0
0xe631c110cfd301b0faa45a3d9ff597ee6e5ab756,16,20,2.76E+19,1.81E+17,1.73E+18,9.04E+15,6.14E+18,8.03E+15,0.884569,0.477598,1453769.083,52335687,0
0x138a35ee20e40f019e7e7c00386ab2ef42d66d1e,80,238,4.14E+17,1.45E+18,5.18E+15,6.08E+15,3.61E+15,1.21E+16,0.263052,0.646125,148776.6132,47310963,0
0x93f2c843f6827e48381654aa2b093e5f97e102c6,9,13244,1.84E+18,2.32E+21,2.04E+17,1.75E+17,3.17E+17,7.63E+17,0.697548,0.89004,877.510451,11629646,0
0x946048a75af11c300a274344887ec39452218b3d,96,30,3.43E+20,1.05E+18,3.57E+18,3.51E+16,1.25E+19,2.99E+16,0.865467,0.438447,579129.2619,72970287,0
0x25ae40c6ba9afef83a9843cb3296603a14b8f1ef,10,51,2.72E+18,2.46E+18,2.72E+17,4.83E+16,4.65E+17,1.12E+17,0.720816,0.763854,286548.8852,17479482,0
0xed023b117953fcfaa92150d3ebe3e987d19563ce,7,89,3.5E+17,1.21E+20,5E+16,1.36E+18,0,5.76E+18,0,0.82164,207049.1563,19876719,0
0x32f778f246ba5f8ad8eb35a0d638e9075abe5b19,49,1952,1.07E+18,8.05E+20,2.18E+16,4.12E+17,5.08E+16,1.44E+18,0.813868,0.862718,5855.795602,11717447,0
0x8a8ec4cedf933dc983724c235fd4f4754ffbe6fc,2991,110,1.7E+21,4.27E+19,5.68E+17,3.88E+17,1.54E+18,8.58E+17,0.763009,0.808838,8889.943889,27567716,0
0x1bb28e79f2482df6bf60efc7a33365703bcf1536,581,140,7.35E+20,1.4E+19,1.27E+18,1E+17,6.57E+18,6.01E+17,0.866298,0.669123,66592.02913,48012853,0
0xf5d347fe5de0fab5ce7c5b451957f209f5943305,1832,454,1.75E+20,1.25E+20,9.56E+16,2.76E+17,1.85E+16,8.05E+17,0.047973,0.838573,6896.179353,15764666,0
0xbd5b1ee23b193bf1e8d41adf67abde9023726c93,18,18,2.32E+18,1.82E+17,1.29E+17,1.01E+16,1.86E+17,1.01E+16,0.652601,0.508874,253426.6389,9123359,0
0x56d06701fd44a4a857cb96b266f505a2832950c5,215,2080,3.89E+19,1.08E+21,1.81E+17,5.17E+17,3.88E+17,2.26E+18,0.565843,0.822613,21956.70458,50390637,0
0x85555555d1bf2e9b820c701537d846d3c9d2ce21,211,26569,3.97E+18,5.25E+22,1.88E+16,1.97E+18,2.61E+16,4.01E+18,0.520842,0.742073,392.555228,10512629,0
0x46a19d32be761efcab0bef87c92ab3911f3fab86,1,1883,2E+16,9.8E+20,2E+16,5.2E+17,0,1.76E+19,0,0.998159,13693.31582,25798207,0
0x80c6ffb6f7a23fb6af173ce13a8278c1426b8cbc,46,199,7.22E+16,3.71E+18,1.57E+15,1.86E+16,2.42E+15,3.24E+16,0.539501,0.632041,193573.449,47425495,0
0x812f8d75654ee5a342ecf98ddf166739eb9ed58f,16,184,2.1E+17,5.31E+18,1.31E+16,2.89E+16,1.26E+16,4.82E+16,0.495272,0.585833,150846.145,30169229,0
0xbc1869a652f68260428b382fd06c96196d92d02d,6,14,5.71E+17,8.98E+18,9.51E+16,6.41E+17,8.91E+16,8.18E+17,0.500472,0.612865,302282.7,6045654,0
0xab088f96c051d841fbc481259a3f3b74fc0eca59,2201,2,1.25E+20,2.94E+16,5.69E+16,1.47E+16,7.06E+17,0,0.987737,0,8223.398547,18116147,0
0x7cbb952a448672eb6ea3cc869cdcec6cf6163e29,23,69,1.26E+18,2.28E+19,5.49E+16,3.31E+17,4.4E+16,7.46E+17,0.336947,0.738588,102020.2391,9385862,0
0x959e507febc94d8d85b0adaa1c594c0a02aa209a,1,505,1E+15,1.2E+20,1E+15,2.37E+17,0,3.42E+17,0,0.600373,15231.86166,7707322,0
0x1c1250f0846f1efeb08f94b8e016ae9a483dce1c,114,419,7.78E+17,1.53E+20,6.83E+15,3.66E+17,7.05E+15,4.09E+17,0.51872,0.513455,23206.69794,12369170,0
0xa1da469bc858e3832c79d649511f79c9805cad02,716,274,1.41E+20,1.89E+18,1.96E+17,6.88E+15,1.55E+18,2.95E+16,0.974705,0.808314,50399.13434,49895143,0
0xbc9b96e7aa6afea664f9d5fdda168518ee20f2cc,1034,1,5.73E+18,2.52E+16,5.54E+15,2.52E+16,6.88E+15,0,0.557366,0,29629.91208,30666959,0
0x241e82c79452f51fbfc89fac6d912e021db1a3b7,442,2665,2.88E+19,6.91E+20,6.51E+16,2.59E+17,1.79E+17,7.58E+17,0.728242,0.72867,9651.552945,29987375,0
0xebbdf302c940c6bfd49c6b165f457fdb324649bc,141,1962,4.84E+18,3.53E+20,3.44E+16,1.8E+17,3.38E+16,1.54E+17,0.449636,0.464537,2433.201617,5117023,0
0x9af839687f6c94542ac5ece2e317daae355493a1,1358,43414,1.71E+20,3.57E+20,1.26E+17,8.22E+15,2.32E+17,8.38E+16,0.694187,0.865974,1045.984455,46830816,0
0xee6854929ce78fb7c5453e63ee2ff76f780677a9,9,1,1.9E+17,2.58E+19,2.11E+16,2.58E+19,2.58E+15,0,0.038407,0,3281240.9,32812409,0
0x8f0bc8290368acfd5cc3a8ec99b2049b7fa103cf,28,72,2.65E+18,7.01E+16,9.47E+16,9.74E+14,1.97E+17,1.65E+15,0.750049,0.618507,53472.3,5347230,0
0x9999998a72a185006f1d17e57d4e586599afb75f,101,1,3.95E+18,3.6E+15,3.91E+16,3.6E+15,4.05E+16,0,0.53015,0,155949.8137,15906881,0
0x78d5e9b5df886e55f9e1cb1bbbabcaa910f6c18c,119,105,1.35E+19,3.85E+17,1.13E+17,3.66E+15,9.1E+17,4.56E+15,0.814851,0.569137,33727.17857,7554888,0
0xf0e3da53ea68e2bb71d5c52c9202c358f40898a0,196,684,1.96E+18,1.68E+20,1E+16,2.46E+17,0,7.46E+17,0,0.745618,56953.79773,50119342,0
0xb58470a0ec113f823757993182131b4f0be4042d,4,1326,4,2.1E+20,1,1.58E+17,0,1.24E+18,0,0.847119,2472.9,3288957,0
0x48ff53777f747cfb694101222a944de070c15d36,15,1,1.5E+17,2.24E+18,1E+16,2.24E+18,0,0,0,0,97402.6875,1558443,0
0x673b537956a28e40aaa8d929fd1b6688c1583dda,37,191,2.33E+19,5.93E+18,6.29E+17,3.1E+16,1.15E+18,1.31E+16,0.728495,0.201019,67542.77632,15399753,0
0x68132eb4bfd84b2d6a23ec4fb1b106f5c8574f2d,144,190,1.89E+18,3.68E+18,1.31E+16,1.94E+16,1.38E+16,2.9E+16,0.50574,0.668045,25745.97904,8599157,0
0xe7f648ad1f726a7f81cc7101a3c3b18a94a1c3a9,710,93,3.22E+20,1.32E+20,4.53E+17,1.42E+18,1.16E+18,4.25E+18,0.760268,0.869404,55793.48568,44802169,0
0xfef5497bc53a69875e02ae5b14eeff668f09a729,9,157,7.05E+18,3.72E+18,7.83E+17,2.37E+16,1.22E+18,7.97E+16,0.690307,0.53121,227232.988,37720676,0
0xbc86727e770de68b1060c91f6bb6945c73e10388,1,373,1E+14,3.72E+20,1E+14,9.97E+17,0,9.37E+18,0,0.910385,58491.00535,21875636,0
0xfe1b613f17f984e27239b0b2dccfb1778888dfae,4,30,3.25E+17,1.86E+17,8.13E+16,6.19E+15,1.41E+17,6.34E+15,0.75,0.522612,968031.4706,32913070,0
0x0e0a86c97a07856d68bf3387aeb9430dbab93245,2218,250,1.43E+21,1.18E+18,6.46E+17,4.72E+15,1.97E+18,6.47E+15,0.740352,0.632743,22028.74109,54366933,0
0x62190802001819f42cb2eda7017d3c617af431c1,729,7148,3.59E+20,1.32E+20,4.92E+17,1.84E+16,5.47E+16,1.15E+16,0.015069,0.337968,3690.035927,29066413,0
0x71b00550f1f67e6d1db593037a4283d456c1491f,140,12,4.48E+18,1.59E+17,3.2E+16,1.32E+16,6.53E+16,1.84E+16,0.776585,0.521819,97373.96711,14800843,0
0x4f5816985263bb4eca89177a287b8a197711b23f,168,4,2.1E+20,4,1.25E+18,1,5.12E+18,0,0.808144,0,22201.48256,3818655,0
0xe58b65d1c0c8e8b2a0e3a3acec633271531084ed,1,173,2.24E+18,2.22E+17,2.24E+18,1.28E+15,0,2.11E+15,0,0.216945,102337.7529,17806769,0
0xb6aca06a3588f4ce5ce33a1a7e9152892b250ca3,40,2,8.95E+19,6.1E+18,2.24E+18,3.05E+18,3.8E+18,2.48E+18,0.710463,0.407182,446332.3571,18745959,0
0xa5629861c9c345f50221996ef852fd9665eb1c05,4929,311,5.26E+22,4.11E+18,1.07E+19,1.32E+16,4.14E+18,4.77E+16,0.19097,0.904757,5903.152863,30932521,0
0xfd52fa412913096a6b2e84374babf84b6ff2baf6,2,9,3E+15,2.28E+18,1.5E+15,2.53E+17,5E+14,2.2E+17,0.166667,0.406222,26370.27273,290073,0
0xd897a2e34a5155e8ba5d4093a7ac883d374ff1d0,179,1021,2.28E+17,1.54E+20,1.27E+15,1.51E+17,2.08E+15,2.77E+17,0.211359,0.669864,41812.11083,50174533,0
0xa4bec96265c7b58486acd15de27a53e2a45b30a2,744,3,1.59E+20,9.13E+16,2.14E+17,3.04E+16,3.18E+17,3.58E+16,0.607286,0.586301,30475.34806,22765085,0
0xe2bef3e4da2dfce1fd970c8a9d233951c5c4382f,667,199476,5.66E+20,3.33E+21,8.49E+17,1.67E+16,5.52E+18,1.05E+18,0.964365,0.954354,251.773167,50390637,0
0xc03dbb04e6e726d88e29cb161f342b2846c4b80c,6,17,6.35E+16,5.69E+17,1.06E+16,3.35E+16,6.02E+15,1.18E+17,0.303603,0.87982,679588.8261,15630543,0
0x1242b404ccaab81d1a2a5429160d91cae749db4c,9300,79,2.49E+21,4.53E+17,2.68E+17,5.74E+15,8.16E+17,8.53E+15,0.830854,0.555281,3391.572876,31809562,0
0xb75bab60770f91bdb2eb40f2e3663a05ad2090ca,774,47,3.03E+22,1.17E+19,3.91E+19,2.5E+17,1.3E+20,6.32E+17,0.783147,0.77736,58309.42266,47872036,0
0xaf1119ac13da83961883773f715e58d43e2aae07,3,4548,3E+16,1.71E+20,1E+16,3.76E+16,0,2.33E+16,0,0.334818,3525.796089,16045898,0
0x219014ef0fdf1b9b0d4e9e453e021573b7082bed,3,581,1.02E+16,7.31E+20,3.42E+15,1.26E+18,4.66E+15,3.68E+18,0.644091,0.848216,92295.33219,53900474,0
0x3521b99f2020fe66213aa27aff326118cdea86a2,231,19,6.89E+18,3.86E+18,2.98E+16,2.03E+17,4.1E+16,3.47E+17,0.65604,0.67885,92801.416,23200354,0
0x9224ca23168a20bc1b5e2a1627edf783e193d39c,16,45,4.94E+18,2.35E+17,3.09E+17,5.23E+15,3E+17,4.08E+15,0.526262,0.277528,249255.0984,15204561,0
0x61d89828f79bbaecf854c7df08dca887af0f8ee7,13,667,8.98E+18,2.59E+22,6.91E+17,3.88E+19,8.29E+17,7.01E+19,0.582902,0.767826,56116.52794,38159239,0
0xdae049562763d6a4236af188a05f4f29603b41cc,654,29,2.19E+20,7.74E+19,3.35E+17,2.67E+18,3.64E+17,4.23E+18,0.579465,0.684872,36449.38653,24894931,0
0xdb4858c8935759211424a23f9485607839920396,935,940,3.77E+18,6.97E+20,4.03E+15,7.42E+17,2.81E+16,1.1E+19,0.695162,0.995875,11054.30027,20726813,0
0x6b31a2ef5986d283332e4a3a608adb3c09ffdd13,13,248,1.89E+17,6.84E+18,1.46E+16,2.76E+16,6.06E+15,4E+16,0.204949,0.681752,74555.36015,19458949,0
0xbc05889af534ea29e333fe5fa9bc9b4767ca7653,3,21,5.19E+17,2.17E+18,1.73E+17,1.03E+17,8.91E+16,1.43E+17,0.242812,0.622783,786651,18879624,0
0xe64d5f33e28387855d33980719f27f0d579392af,1,12532,1.5E+16,1.36E+20,1.5E+16,1.08E+16,0,6.56E+16,0,0.787336,3409.79183,42734921,0
0x5de6d95fcf667e79533b64b8652675f3adaf4825,79,0,4.81E+17,0,6.08E+15,0,4.68E+15,0,0.334297,0,41436.79747,3273507,0
0xd4276563d170073482f65b305559e4b73f7a089f,444,0,1.37E+21,0,3.1E+18,0,3.57E+18,0,0.502181,0,1014.734234,450542,0
0x8b29b70b2cd8fdd891c1d0cd5808fb92781ba90b,2802,0,1.39E+20,0,4.96E+16,0,2.76E+16,0,0.106185,0,5877.638829,16469144,0
0x5216c8d4e0f29285b5c8805810487c5277788e31,191,0,5.93E+18,0,3.1E+16,0,1.31E+16,0,0.201019,0,80626.97906,15399753,0
0x7fc5f8ed7307ddebf24934ef9f3e3aa1edc1d841,27,0,1.46E+17,0,5.42E+15,0,1.3E+16,0,0.819499,0,1089804.593,29424724,0
0xdd4950f977ee28d2c132f1353d1595035db444ee,1,0,1E+17,0,1E+17,0,0,0,0,0,0,0,0
0x96313f2c374f901e3831ea6de67b1165c4f39a54,8,0,2.54E+17,0,3.18E+16,0,7.14E+16,0,0.798139,0,134722.125,1077777,0
